to gather;rassembler
a landmark;un point de repère
reliable;fiable
to withdraw;retirer / se retirer
an outcome;un résultat
seamless;fluide, sans accroc
to achieve;réaliser, atteindre
to enhance;améliorer, renforcer
to overcome;surmonter
to acknowledge;reconnaître, admettre
to emphasize;souligner, mettre l'accent sur
to pursue;poursuivre
to undermine;saper, affaiblir
to convey;transmettre (une idée, un message)
to tackle;s'attaquer à (un problème)
to thrive;prospérer, s'épanouir
to comply;se conformer, respecter (les règles)
to allocate;allouer, répartir
to postpone;reporter, remettre à plus tard
to retrieve;récupérer
to broaden;élargir
to grasp;saisir, comprendre
to foster;favoriser, encourager
to attend;assister à « faux ami : “assister à”, pas “attendre” »
to pretend;faire semblant « faux ami : “faire semblant”, pas “prétendre” »
accurate;précis, exact
thorough;minutieux, approfondi
reluctant;réticent, peu disposé
straightforward;simple, clair, direct
feasible;réalisable, faisable
cumbersome;encombrant, lourd à manier
versatile;polyvalent
redundant;superflu, redondant
steady;stable, régulier
blatant;flagrant, manifeste
scarce;rare, peu abondant
compelling;convaincant, captivant
brittle;cassant, fragile
sensible;raisonnable, sensé « faux ami : “raisonnable”, pas “sensible” »
relevant;pertinent, en rapport
a drawback;un inconvénient
an insight;un aperçu, une perspicacité
a breakthrough;une percée, une avancée
a shortage;une pénurie
a hurdle;un obstacle
a trade-off;un compromis, un arbitrage
a milestone;un jalon, une étape clé
turmoil;l'agitation, la tourmente
scope;l'étendue, la portée
a loophole;une faille (juridique)
a glimpse;un bref aperçu
leverage;un levier, une influence
eventually;finalement, en fin de compte « faux ami : “finalement”, pas “éventuellement” »
actually;en fait, en réalité « faux ami : “en fait”, pas “actuellement” »
accordingly;en conséquence
regardless;quoi qu'il en soit, indépendamment
thoroughly;minutieusement, à fond
